Run1,Run2,Run3,Run4,Run5
1.32273e-06,1.26601e-06,1.36617e-06,1.28043e-06,1.26091e-06
1.31995e-06,1.30308e-06,1.38073e-06,1.334e-06,1.35752e-06
1.39201e-06,1.35409e-06,1.38726e-06,1.44818e-06,1.36051e-06
1.38863e-06,1.41182e-06,1.46261e-06,1.42841e-06,1.44232e-06
1.52215e-06,1.50264e-06,1.52903e-06,1.51132e-06,1.54181e-06
1.65706e-06,1.57445e-06,1.60607e-06,1.58017e-06,1.60027e-06
1.74719e-06,1.749e-06,1.67893e-06,1.82943e-06,1.6598e-06
1.83607e-06,1.72769e-06,1.85982e-06,1.88154e-06,1.77483e-06
2.06182e-06,1.87293e-06,1.86422e-06,1.94534e-06,1.88694e-06
2.07052e-06,2.06456e-06,2.03757e-06,2.04263e-06,2.0204e-06
2.33507e-06,2.11463e-06,2.16646e-06,2.19081e-06,2.2722e-06
2.25047e-06,2.21505e-06,2.22147e-06,2.25292e-06,2.20878e-06
2.41763e-06,2.38724e-06,2.36167e-06,2.43828e-06,2.42999e-06
2.46102e-06,2.43172e-06,2.54502e-06,2.54954e-06,2.40835e-06
2.61259e-06,2.64826e-06,2.65588e-06,2.57004e-06,2.60414e-06
2.7673e-06,2.62001e-06,2.67207e-06,2.83489e-06,2.71733e-06
2.95462e-06,2.70496e-06,2.78479e-06,2.89473e-06,2.67881e-06
3.05331e-06,2.8844e-06,2.79945e-06,2.99819e-06,3.00555e-06
3.12302e-06,2.92727e-06,3.03088e-06,3.07779e-06,2.85422e-06
3.19277e-06,2.96004e-06,3.01965e-06,3.06742e-06,2.94379e-06
3.25715e-06,3.01848e-06,3.03999e-06,3.14235e-06,3.04876e-06
3.28182e-06,3.08761e-06,3.07479e-06,3.2453e-06,3.18915e-06
3.34499e-06,3.12767e-06,3.35578e-06,3.21852e-06,3.18682e-06
3.40276e-06,3.23628e-06,3.26077e-06,3.22341e-06,3.31269e-06
3.42027e-06,3.28761e-06,3.41076e-06,3.46672e-06,3.28547e-06
3.63625e-06,3.341e-06,3.38042e-06,3.38728e-06,3.31416e-06
3.74928e-06,3.45408e-06,3.48327e-06,3.53997e-06,3.4722e-06
3.7764e-06,3.5254e-06,3.54726e-06,3.58761e-06,3.53858e-06
3.70998e-06,3.4415e-06,3.53071e-06,3.66453e-06,3.52996e-06
3.84954e-06,3.56694e-06,3.63501e-06,3.60229e-06,3.68464e-06
3.82293e-06,3.51129e-06,3.69742e-06,3.71145e-06,3.65011e-06
3.88912e-06,3.59206e-06,3.74516e-06,3.71257e-06,3.71293e-06
3.90607e-06,3.67794e-06,3.78189e-06,3.7249e-06,3.78437e-06
3.9635e-06,3.73537e-06,3.85321e-06,3.73833e-06,3.7441e-06
3.90537e-06,3.68716e-06,3.85917e-06,3.80635e-06,3.79046e-06
3.91827e-06,3.74665e-06,3.85917e-06,3.79654e-06,3.83617e-06
3.92714e-06,3.70367e-06,3.85917e-06,3.81047e-06,3.84227e-06
3.9827e-06,3.78669e-06,3.85651e-06,3.82494e-06,3.89319e-06
3.93436e-06,3.78945e-06,3.86956e-06,3.8216e-06,3.89486e-06
3.93436e-06,3.78669e-06,3.8681e-06,3.82332e-06,3.89871e-06
3.96085e-06,3.84913e-06,3.86956e-06,3.84099e-06,3.90958e-06
3.99316e-06,3.79182e-06,3.87077e-06,3.83289e-06,3.90958e-06
3.99316e-06,3.81997e-06,3.87077e-06,3.8417e-06,3.90958e-06
4.00085e-06,3.81997e-06,3.88473e-06,3.83289e-06,3.90958e-06
4.00085e-06,3.81997e-06,3.88473e-06,3.83289e-06,3.90958e-06
4.00085e-06,3.88653e-06,3.88473e-06,3.83408e-06,3.90958e-06
4.00085e-06,3.81997e-06,3.88473e-06,3.83492e-06,3.90958e-06
4.00085e-06,3.81997e-06,3.88514e-06,3.84043e-06,3.90958e-06
4.00085e-06,3.81997e-06,3.88514e-06,3.84208e-06,3.90958e-06
4.00085e-06,3.81997e-06,3.88514e-06,3.84208e-06,3.90958e-06
4.00085e-06,3.81997e-06,3.88514e-06,3.84208e-06,3.90958e-06
4.00085e-06,3.81997e-06,3.88514e-06,3.84208e-06,3.90958e-06
4.00085e-06,3.8177e-06,3.88514e-06,3.84208e-06,3.90958e-06
4.00085e-06,3.8177e-06,3.88514e-06,3.84208e-06,3.90958e-06
