Run1,Run2,Run3,Run4,Run5
1.27771e-06,1.28022e-06,1.25569e-06,1.22824e-06,1.24343e-06
1.26263e-06,1.34557e-06,1.29647e-06,1.26459e-06,1.28539e-06
1.28419e-06,1.37844e-06,1.28195e-06,1.2958e-06,1.34347e-06
1.27011e-06,1.35524e-06,1.31524e-06,1.36044e-06,1.37123e-06
1.34506e-06,1.37804e-06,1.32776e-06,1.36033e-06,1.39366e-06
1.3765e-06,1.42947e-06,1.39483e-06,1.42638e-06,1.40419e-06
1.46302e-06,1.44313e-06,1.42941e-06,1.44657e-06,1.42904e-06
1.48159e-06,1.49898e-06,1.48355e-06,1.46232e-06,1.54447e-06
1.50083e-06,1.52134e-06,1.52245e-06,1.50126e-06,1.5444e-06
1.54197e-06,1.58335e-06,1.54652e-06,1.54592e-06,1.58813e-06
1.56133e-06,1.63282e-06,1.56682e-06,1.58537e-06,1.56582e-06
1.56303e-06,1.70409e-06,1.58875e-06,1.63262e-06,1.60971e-06
1.5847e-06,1.67937e-06,1.63468e-06,1.63111e-06,1.63355e-06
1.58735e-06,1.70797e-06,1.65733e-06,1.65843e-06,1.67962e-06
1.65295e-06,1.75746e-06,1.68102e-06,1.68029e-06,1.70566e-06
1.65441e-06,1.78579e-06,1.68224e-06,1.72751e-06,1.70645e-06
1.70532e-06,1.81451e-06,1.70858e-06,1.73173e-06,1.73185e-06
1.70532e-06,1.84419e-06,1.73234e-06,1.75871e-06,1.78662e-06
1.75686e-06,1.84419e-06,1.73569e-06,1.75951e-06,1.78662e-06
1.78465e-06,1.87426e-06,1.76336e-06,1.81601e-06,1.78842e-06
1.78465e-06,1.87592e-06,1.81498e-06,1.84467e-06,1.81891e-06
1.81409e-06,1.90763e-06,1.81747e-06,1.81863e-06,1.84794e-06
1.81409e-06,1.90705e-06,1.81747e-06,1.87627e-06,1.8487e-06
1.87402e-06,1.90705e-06,1.82111e-06,1.87862e-06,1.87852e-06
1.87402e-06,1.93983e-06,1.87561e-06,1.90972e-06,1.87898e-06
1.87519e-06,1.94017e-06,1.87965e-06,1.94063e-06,1.91048e-06
1.90573e-06,1.97346e-06,1.90756e-06,1.94135e-06,1.91013e-06
1.93756e-06,1.97346e-06,1.91131e-06,1.94503e-06,1.91127e-06
1.93922e-06,1.97418e-06,1.91176e-06,1.97371e-06,1.943e-06
1.93922e-06,2.00864e-06,1.91176e-06,1.97437e-06,1.943e-06
1.97176e-06,2.00864e-06,1.91191e-06,1.97497e-06,1.94396e-06
1.97225e-06,2.00864e-06,1.94379e-06,1.97651e-06,1.97695e-06
2.00628e-06,2.00892e-06,1.94404e-06,1.97651e-06,1.97769e-06
2.00628e-06,2.00927e-06,1.94425e-06,2.00936e-06,1.97841e-06
2.00684e-06,2.04397e-06,1.94565e-06,2.00936e-06,1.97841e-06
2.00684e-06,2.00927e-06,1.97759e-06,2.00936e-06,1.97869e-06
2.00684e-06,2.00927e-06,1.97785e-06,2.0101e-06,1.97869e-06
2.01263e-06,2.00927e-06,1.97823e-06,2.01036e-06,1.97869e-06
2.01263e-06,2.00927e-06,1.97913e-06,2.01036e-06,1.97869e-06
2.04179e-06,2.00927e-06,1.97973e-06,2.01036e-06,1.97869e-06
2.04824e-06,2.00927e-06,2.01362e-06,2.01036e-06,1.97913e-06
2.04824e-06,2.00927e-06,2.01434e-06,2.01036e-06,1.97913e-06
2.04824e-06,2.00927e-06,2.01461e-06,2.01036e-06,1.97913e-06
2.04824e-06,2.00927e-06,2.01461e-06,2.01036e-06,1.97913e-06
2.04874e-06,2.00927e-06,2.04996e-06,2.01036e-06,1.97913e-06
2.04874e-06,2.00927e-06,2.04996e-06,2.01036e-06,1.97913e-06
2.04874e-06,2.00927e-06,2.04996e-06,2.01036e-06,1.97913e-06
2.04889e-06,2.00927e-06,2.04996e-06,2.01036e-06,1.97913e-06
2.04874e-06,2.00927e-06,2.04996e-06,2.01036e-06,1.97913e-06
2.04874e-06,2.00927e-06,2.04996e-06,2.01036e-06,2.01384e-06
2.04874e-06,2.00927e-06,2.04996e-06,2.01036e-06,2.01384e-06
2.04874e-06,2.00927e-06,2.04996e-06,2.01036e-06,2.01384e-06
