Run1,Run2,Run3,Run4,Run5
1.25656e-06,1.21607e-06,1.23559e-06,1.32087e-06,1.25182e-06
1.35057e-06,1.27992e-06,1.29766e-06,1.32724e-06,1.28946e-06
1.36885e-06,1.36648e-06,1.34233e-06,1.35768e-06,1.32433e-06
1.40498e-06,1.42873e-06,1.39216e-06,1.43948e-06,1.4045e-06
1.40068e-06,1.46707e-06,1.40317e-06,1.55987e-06,1.45818e-06
1.49438e-06,1.48543e-06,1.57616e-06,1.64181e-06,1.53089e-06
1.63367e-06,1.56542e-06,1.59387e-06,1.71176e-06,1.63347e-06
1.72984e-06,1.66915e-06,1.69796e-06,1.71416e-06,1.72036e-06
1.82096e-06,1.75294e-06,1.81903e-06,1.93583e-06,1.80257e-06
1.8854e-06,1.84466e-06,1.98958e-06,1.98644e-06,1.92296e-06
2.06939e-06,1.98763e-06,2.15984e-06,2.06844e-06,2.11319e-06
2.13203e-06,2.16276e-06,2.26278e-06,2.23856e-06,2.21213e-06
2.33672e-06,2.1999e-06,2.2897e-06,2.45388e-06,2.31738e-06
2.53722e-06,2.37457e-06,2.41589e-06,2.46815e-06,2.48416e-06
2.62038e-06,2.46086e-06,2.66994e-06,2.55967e-06,2.66467e-06
2.7547e-06,2.69129e-06,2.82895e-06,2.90856e-06,2.70875e-06
2.87452e-06,2.83347e-06,2.85816e-06,2.83046e-06,2.92935e-06
3.06523e-06,2.91384e-06,3.05971e-06,3.02195e-06,3.05509e-06
3.22308e-06,3.19825e-06,3.23231e-06,3.16327e-06,3.23697e-06
3.33425e-06,3.25195e-06,3.24136e-06,3.2824e-06,3.4541e-06
3.37407e-06,3.44388e-06,3.35946e-06,3.35168e-06,3.53896e-06
3.46678e-06,3.49188e-06,3.46355e-06,3.6535e-06,3.69763e-06
3.59797e-06,3.64013e-06,3.52422e-06,3.60647e-06,3.71613e-06
3.64103e-06,3.68682e-06,3.76581e-06,3.85748e-06,3.75708e-06
3.77928e-06,3.83623e-06,3.76471e-06,3.81929e-06,3.89112e-06
3.82982e-06,3.90487e-06,3.83988e-06,3.89694e-06,3.93463e-06
3.85856e-06,3.93032e-06,3.87137e-06,4.02686e-06,4.02854e-06
3.91443e-06,3.9585e-06,3.95469e-06,4.05279e-06,4.0724e-06
3.99196e-06,4.03506e-06,4.06266e-06,4.14227e-06,4.05584e-06
3.97998e-06,4.11728e-06,4.01176e-06,4.11376e-06,4.11197e-06
4.01986e-06,4.15302e-06,4.06529e-06,4.15002e-06,4.13551e-06
4.03367e-06,4.15302e-06,4.10503e-06,4.15994e-06,4.13551e-06
4.05186e-06,4.15302e-06,4.14632e-06,4.16039e-06,4.13461e-06
4.11633e-06,4.15583e-06,4.12355e-06,4.16491e-06,4.13662e-06
4.10038e-06,4.1749e-06,4.15429e-06,4.17187e-06,4.13761e-06
4.11324e-06,4.15583e-06,4.15429e-06,4.2021e-06,4.16996e-06
4.14667e-06,4.15583e-06,4.15429e-06,4.2021e-06,4.16996e-06
