Custo,Fitness,NumSwitches,SAIDI,ENS,Tempo
5.052892e+05,1.979065e-06,56,9.964287e-01,1.519399e+04,7.769899e+00
4.972604e+05,2.011019e-06,55,9.780842e-01,1.658247e+04,7.818186e+00
5.149362e+05,1.941988e-06,57,9.968787e-01,1.650705e+04,7.880046e+00
5.239390e+05,1.908619e-06,58,9.848607e-01,1.674451e+04,7.996616e+00
5.060338e+05,1.976153e-06,56,9.937515e-01,1.643706e+04,7.744859e+00
4.974831e+05,2.010118e-06,55,9.999658e-01,1.695433e+04,7.720050e+00
5.068807e+05,1.972851e-06,56,9.914509e-01,1.785083e+04,7.766451e+00
5.056984e+05,1.977463e-06,56,9.912273e-01,1.587717e+04,7.808580e+00
4.876838e+05,2.050509e-06,54,9.642647e-01,1.538698e+04,7.768611e+00
5.149610e+05,1.941895e-06,57,9.930910e-01,1.654839e+04,7.883755e+00
4.974174e+05,2.010384e-06,55,9.889306e-01,1.684447e+04,7.752946e+00
5.046561e+05,1.981547e-06,56,9.877872e-01,1.413711e+04,7.765839e+00
4.978150e+05,2.008778e-06,55,9.943792e-01,1.750846e+04,7.809455e+00
5.054820e+05,1.978310e-06,56,9.985716e-01,1.551587e+04,7.834639e+00
5.063803e+05,1.974800e-06,56,9.816027e-01,1.701558e+04,7.860502e+00
4.976200e+05,2.009566e-06,55,9.953103e-01,1.718273e+04,7.738845e+00
4.879885e+05,2.049228e-06,54,9.941248e-01,1.589578e+04,7.702425e+00
4.964794e+05,2.014182e-06,55,9.963279e-01,1.527857e+04,7.735948e+00
4.881462e+05,2.048567e-06,54,9.890292e-01,1.615889e+04,7.777409e+00
4.972116e+05,2.011216e-06,55,9.997075e-01,1.650087e+04,7.737663e+00
4.968019e+05,2.012875e-06,55,9.656188e-01,1.581705e+04,7.780840e+00
4.886840e+05,2.046312e-06,54,9.935331e-01,1.705675e+04,7.701108e+00
5.060757e+05,1.975989e-06,56,9.890642e-01,1.650707e+04,7.754103e+00
5.233143e+05,1.910897e-06,58,9.674721e-01,1.570162e+04,7.866873e+00
5.064472e+05,1.974539e-06,56,9.658163e-01,1.712722e+04,7.770336e+00
5.157832e+05,1.938799e-06,57,9.995350e-01,1.792113e+04,7.777002e+00
4.968828e+05,2.012547e-06,55,9.956736e-01,1.595205e+04,7.740382e+00
4.969052e+05,2.012456e-06,55,9.807391e-01,1.598952e+04,7.793962e+00
5.054622e+05,1.978387e-06,56,9.865894e-01,1.548280e+04,7.743072e+00
5.056122e+05,1.977800e-06,56,9.987932e-01,1.573321e+04,7.735291e+00
5.053643e+05,1.978771e-06,56,9.870194e-01,1.531940e+04,7.745275e+00
5.050241e+05,1.980104e-06,56,9.913706e-01,1.475135e+04,7.869651e+00
4.790847e+05,2.087314e-06,53,9.938352e-01,1.582342e+04,7.751783e+00
5.141960e+05,1.944784e-06,57,9.866573e-01,1.527126e+04,8.083340e+00
5.142169e+05,1.944705e-06,57,9.760890e-01,1.530607e+04,7.922960e+00
5.058067e+05,1.977040e-06,56,9.929683e-01,1.605792e+04,7.759751e+00
5.139778e+05,1.945609e-06,57,9.915497e-01,1.490704e+04,7.923185e+00
5.147220e+05,1.942796e-06,57,9.960104e-01,1.614947e+04,7.870408e+00
4.809210e+05,2.079344e-06,53,9.944977e-01,1.888899e+04,7.807253e+00
5.412712e+05,1.847503e-06,60,9.956189e-01,1.609548e+04,7.892293e+00
