Custo,Fitness,NumSwitches,SAIDI,ENS,Tempo
4.880027e+05,2.049169e-06,54,9.868351e-01,1.591938e+04,4.974944e+00
5.057581e+05,1.977230e-06,56,9.924707e-01,1.597678e+04,5.035091e+00
4.788885e+05,2.088169e-06,53,9.943402e-01,1.549589e+04,5.015550e+00
4.977541e+05,2.009024e-06,55,9.917864e-01,1.740674e+04,5.073539e+00
5.053642e+05,1.978771e-06,56,9.948940e-01,1.531916e+04,5.139518e+00
5.063986e+05,1.974729e-06,56,9.970986e-01,1.704614e+04,4.995559e+00
4.965364e+05,2.013951e-06,55,9.893367e-01,1.537383e+04,5.080198e+00
4.964860e+05,2.014156e-06,55,9.619599e-01,1.528959e+04,5.050331e+00
5.052157e+05,1.979353e-06,56,9.966713e-01,1.507120e+04,5.004436e+00
4.887881e+05,2.045876e-06,54,9.800971e-01,1.723045e+04,5.050414e+00
4.798661e+05,2.083915e-06,53,9.949604e-01,1.712792e+04,5.003645e+00
5.051396e+05,1.979651e-06,56,9.852228e-01,1.494429e+04,5.166449e+00
4.882244e+05,2.048238e-06,54,9.769017e-01,1.628950e+04,4.921767e+00
4.880025e+05,2.049170e-06,54,9.993196e-01,1.591910e+04,5.051598e+00
5.061557e+05,1.975676e-06,56,9.985022e-01,1.664062e+04,5.079280e+00
5.057935e+05,1.977091e-06,56,9.986731e-01,1.603593e+04,5.024676e+00
4.997898e+05,2.000841e-06,55,9.956119e-01,2.080519e+04,4.988987e+00
5.049127e+05,1.980540e-06,56,9.644936e-01,1.456540e+04,5.070612e+00
5.321632e+05,1.879123e-06,59,9.996094e-01,1.568228e+04,5.127366e+00
4.975011e+05,2.010046e-06,55,9.894843e-01,1.698438e+04,5.030260e+00
4.878514e+05,2.049804e-06,54,9.778550e-01,1.566678e+04,5.024350e+00
4.967478e+05,2.013094e-06,55,9.811193e-01,1.572672e+04,5.025666e+00
4.786716e+05,2.089115e-06,53,9.881172e-01,1.513370e+04,4.998541e+00
4.875190e+05,2.051202e-06,54,9.940081e-01,1.511187e+04,5.025379e+00
4.796859e+05,2.084698e-06,53,9.952992e-01,1.682698e+04,5.041297e+00
4.787861e+05,2.088615e-06,53,9.990730e-01,1.532494e+04,5.005915e+00
5.229523e+05,1.912220e-06,58,9.849392e-01,1.509733e+04,5.154746e+00
5.054049e+05,1.978612e-06,56,9.917815e-01,1.538712e+04,5.005444e+00
4.969596e+05,2.012236e-06,55,9.767476e-01,1.608038e+04,5.096702e+00
5.047106e+05,1.981334e-06,56,9.832113e-01,1.422804e+04,5.103591e+00
4.976307e+05,2.009522e-06,55,9.765775e-01,1.720075e+04,5.037163e+00
5.142232e+05,1.944681e-06,57,9.763856e-01,1.531673e+04,5.138863e+00
4.786569e+05,2.089179e-06,53,9.922755e-01,1.510928e+04,5.072514e+00
5.143290e+05,1.944281e-06,57,9.804142e-01,1.549333e+04,5.025971e+00
4.965178e+05,2.014026e-06,55,9.878173e-01,1.534268e+04,5.024072e+00
5.143753e+05,1.944106e-06,57,9.704856e-01,1.557061e+04,5.027802e+00
4.965769e+05,2.013787e-06,55,9.986740e-01,1.544143e+04,5.078653e+00
4.974714e+05,2.010166e-06,55,9.988761e-01,1.693477e+04,5.031948e+00
4.968565e+05,2.012654e-06,55,9.605608e-01,1.590820e+04,5.024424e+00
5.061979e+05,1.975512e-06,56,9.944464e-01,1.671103e+04,4.975687e+00
