Custo,Fitness,NumSwitches,SAIDI,ENS,Tempo
4.705851e+05,2.125014e-06,52,9.670168e-01,1.642592e+04,7.791285e+00
4.611469e+05,2.168506e-06,51,9.874877e-01,1.546142e+04,7.758465e+00
4.694609e+05,2.130103e-06,52,9.856949e-01,1.454902e+04,7.766218e+00
4.788655e+05,2.088269e-06,53,9.967300e-01,1.545749e+04,7.750090e+00
4.700415e+05,2.127472e-06,52,9.753938e-01,1.551840e+04,7.773773e+00
4.788287e+05,2.088429e-06,53,9.797775e-01,1.539597e+04,7.767025e+00
4.615729e+05,2.166505e-06,51,9.742599e-01,1.617269e+04,7.814906e+00
4.786234e+05,2.089326e-06,53,9.914597e-01,1.505315e+04,7.763464e+00
4.615432e+05,2.166644e-06,51,9.942827e-01,1.612304e+04,7.762960e+00
4.702739e+05,2.126420e-06,52,9.904872e-01,1.590630e+04,7.766498e+00
4.784389e+05,2.090131e-06,53,9.932624e-01,1.474523e+04,7.756545e+00
4.698626e+05,2.128282e-06,52,9.994873e-01,1.521970e+04,7.754203e+00
4.712602e+05,2.121970e-06,52,9.917982e-01,1.755295e+04,7.827036e+00
4.618528e+05,2.165192e-06,51,9.894139e-01,1.663993e+04,7.799694e+00
4.532919e+05,2.206084e-06,50,9.995774e-01,1.714015e+04,7.742026e+00
4.701559e+05,2.126954e-06,52,9.963328e-01,1.570942e+04,7.749877e+00
4.620412e+05,2.164309e-06,51,9.950551e-01,1.695441e+04,7.753387e+00
4.707819e+05,2.124126e-06,52,9.999219e-01,1.675439e+04,7.739020e+00
4.709964e+05,2.123158e-06,52,9.870165e-01,1.711259e+04,7.748231e+00
4.616732e+05,2.166034e-06,51,9.928285e-01,1.634004e+04,7.731652e+00
4.785852e+05,2.089492e-06,53,9.964801e-01,1.498957e+04,7.746775e+00
4.789801e+05,2.087769e-06,53,9.803659e-01,1.564874e+04,7.738830e+00
4.614690e+05,2.166993e-06,51,9.999343e-01,1.599919e+04,7.779310e+00
4.781642e+05,2.091332e-06,53,9.944583e-01,1.428672e+04,7.775988e+00
4.873640e+05,2.051855e-06,54,9.809845e-01,1.485302e+04,7.787967e+00
4.613851e+05,2.167387e-06,51,9.988230e-01,1.585903e+04,7.831358e+00
4.718859e+05,2.119156e-06,52,9.929026e-01,1.859750e+04,7.788181e+00
4.612103e+05,2.168208e-06,51,9.931985e-01,1.556734e+04,7.772917e+00
4.617600e+05,2.165627e-06,51,9.971588e-01,1.648492e+04,7.754954e+00
4.616489e+05,2.166148e-06,51,9.990871e-01,1.629953e+04,7.746154e+00
4.790191e+05,2.087599e-06,53,9.939048e-01,1.571391e+04,7.763845e+00
4.613850e+05,2.167387e-06,51,9.837624e-01,1.585888e+04,7.739049e+00
4.701181e+05,2.127125e-06,52,9.975246e-01,1.564625e+04,7.775605e+00
4.713981e+05,2.121349e-06,52,9.918022e-01,1.778306e+04,7.776946e+00
4.715627e+05,2.120609e-06,52,9.956025e-01,1.805797e+04,7.773913e+00
4.616597e+05,2.166098e-06,51,9.879299e-01,1.631751e+04,7.748226e+00
4.701799e+05,2.126845e-06,52,9.892019e-01,1.574941e+04,7.758678e+00
4.699496e+05,2.127888e-06,52,9.948031e-01,1.536489e+04,7.746759e+00
4.967352e+05,2.013145e-06,55,9.967821e-01,1.570569e+04,7.736778e+00
4.782159e+05,2.091106e-06,53,9.795120e-01,1.437291e+04,7.749150e+00
