Custo,Fitness,NumSwitches,SAIDI,ENS,Tempo
5.059443e+05,1.976502e-06,56,9.990197e-01,1.628762e+04,5.107335e+00
5.057826e+05,1.977134e-06,56,9.987354e-01,1.601767e+04,5.116572e+00
4.620458e+05,2.164287e-06,51,9.919931e-01,1.696212e+04,5.045375e+00
4.969324e+05,2.012346e-06,55,9.796953e-01,1.603491e+04,5.127463e+00
4.789422e+05,2.087935e-06,53,9.985945e-01,1.558541e+04,5.030957e+00
5.057838e+05,1.977129e-06,56,9.836712e-01,1.601968e+04,4.958198e+00
4.788474e+05,2.088348e-06,53,9.926118e-01,1.542719e+04,4.994632e+00
5.070530e+05,1.972181e-06,56,9.825205e-01,1.813850e+04,4.977877e+00
5.053068e+05,1.978996e-06,56,9.813767e-01,1.522336e+04,4.998331e+00
4.886531e+05,2.046442e-06,54,9.848812e-01,1.700518e+04,5.044787e+00
4.792093e+05,2.086771e-06,53,9.701108e-01,1.603131e+04,4.904782e+00
4.971634e+05,2.011411e-06,55,9.988658e-01,1.642061e+04,5.122345e+00
4.795981e+05,2.085079e-06,53,9.749354e-01,1.668053e+04,4.959329e+00
4.790688e+05,2.087383e-06,53,9.896943e-01,1.579689e+04,4.991515e+00
4.782392e+05,2.091004e-06,53,9.791702e-01,1.441189e+04,4.997004e+00
5.063924e+05,1.974753e-06,56,9.787832e-01,1.703563e+04,5.101257e+00
4.800482e+05,2.083124e-06,53,9.982221e-01,1.743193e+04,4.980113e+00
5.065276e+05,1.974226e-06,56,9.962354e-01,1.726141e+04,4.958511e+00
5.147479e+05,1.942699e-06,57,9.973911e-01,1.619262e+04,5.041170e+00
4.785511e+05,2.089641e-06,53,9.821323e-01,1.493251e+04,4.958990e+00
4.791080e+05,2.087212e-06,53,9.903564e-01,1.586220e+04,5.027500e+00
4.968589e+05,2.012644e-06,55,9.861354e-01,1.591212e+04,4.971842e+00
4.790389e+05,2.087513e-06,53,9.720376e-01,1.574694e+04,5.071506e+00
4.789493e+05,2.087904e-06,53,9.798844e-01,1.559724e+04,5.019294e+00
4.966601e+05,2.013449e-06,55,9.754609e-01,1.558027e+04,4.971475e+00
4.877854e+05,2.050082e-06,54,9.811949e-01,1.555667e+04,4.969855e+00
5.158246e+05,1.938643e-06,57,9.830377e-01,1.799021e+04,5.103005e+00
5.145285e+05,1.943527e-06,57,9.880068e-01,1.582633e+04,5.155122e+00
4.878389e+05,2.049857e-06,54,9.774103e-01,1.564595e+04,5.061576e+00
5.063221e+05,1.975027e-06,56,9.929935e-01,1.691835e+04,5.042794e+00
4.971262e+05,2.011561e-06,55,9.705658e-01,1.635849e+04,4.997624e+00
4.963016e+05,2.014904e-06,55,9.891357e-01,1.498185e+04,5.028459e+00
4.891609e+05,2.044317e-06,54,9.944713e-01,1.785295e+04,5.048174e+00
4.975052e+05,2.010029e-06,55,9.980556e-01,1.699116e+04,5.056497e+00
5.057164e+05,1.977393e-06,56,9.944713e-01,1.590713e+04,5.047718e+00
4.875569e+05,2.051043e-06,54,9.792424e-01,1.517508e+04,5.066134e+00
4.885259e+05,2.046974e-06,54,9.893821e-01,1.679283e+04,4.974950e+00
4.704220e+05,2.125751e-06,52,9.959063e-01,1.615354e+04,5.000880e+00
5.154850e+05,1.939921e-06,57,9.527454e-01,1.742311e+04,5.094895e+00
4.803528e+05,2.081803e-06,53,9.999964e-01,1.794041e+04,4.998295e+00
