Custo,Fitness,NumSwitches,SAIDI,ENS,Tempo
3.071467e+05,3.255774e-06,29,4.969911e+00,8.379325e+04,6.612797e+00
2.792586e+05,3.580910e-06,26,4.802081e+00,8.161202e+04,6.622409e+00
3.127449e+05,3.197494e-06,30,4.765270e+00,7.834716e+04,6.624464e+00
2.841233e+05,3.519599e-06,27,4.887432e+00,7.494126e+04,6.633510e+00
2.943706e+05,3.397078e-06,27,4.790202e+00,9.204857e+04,6.637404e+00
3.119281e+05,3.205867e-06,30,4.985554e+00,7.698342e+04,6.593179e+00
2.770270e+05,3.609756e-06,26,4.804721e+00,7.788652e+04,6.655539e+00
2.835897e+05,3.526221e-06,27,4.922064e+00,7.405044e+04,6.615117e+00
2.994489e+05,3.339468e-06,28,4.969257e+00,8.573442e+04,6.625255e+00
2.903904e+05,3.443640e-06,27,4.874275e+00,8.540380e+04,6.641020e+00
3.111624e+05,3.213756e-06,30,4.833714e+00,7.570520e+04,6.572725e+00
2.761701e+05,3.620956e-06,26,4.760023e+00,7.645596e+04,6.648541e+00
3.012583e+05,3.319411e-06,29,4.855655e+00,7.396292e+04,6.704066e+00
2.917848e+05,3.427184e-06,28,4.882604e+00,7.293955e+04,6.630613e+00
2.942180e+05,3.398840e-06,28,4.378317e+00,7.700174e+04,6.655236e+00
2.824131e+05,3.540912e-06,26,4.873443e+00,8.687833e+04,6.676344e+00
2.831752e+05,3.531383e-06,27,4.710444e+00,7.335836e+04,6.704291e+00
2.668774e+05,3.747038e-06,25,4.753516e+00,7.573447e+04,6.599819e+00
2.993322e+05,3.340770e-06,28,4.874033e+00,8.553955e+04,6.625338e+00
3.033815e+05,3.296180e-06,29,4.825737e+00,7.750752e+04,6.621191e+00
3.022241e+05,3.308802e-06,29,4.524283e+00,7.557539e+04,6.666874e+00
2.992763e+05,3.341394e-06,28,4.920088e+00,8.544620e+04,6.711749e+00
2.841073e+05,3.519797e-06,27,4.926721e+00,7.491452e+04,6.646934e+00
2.919303e+05,3.425475e-06,28,4.549291e+00,7.318247e+04,6.684219e+00
3.127901e+05,3.197032e-06,30,4.971890e+00,7.842256e+04,6.570688e+00
3.011940e+05,3.320119e-06,28,4.927602e+00,8.864779e+04,6.601707e+00
2.747497e+05,3.639677e-06,26,4.746270e+00,7.408458e+04,6.567015e+00
3.007166e+05,3.325390e-06,29,4.506109e+00,7.305852e+04,6.636759e+00
2.933524e+05,3.408869e-06,28,4.982574e+00,7.555667e+04,6.589722e+00
2.961556e+05,3.376603e-06,28,4.852720e+00,8.023637e+04,6.653835e+00
3.215003e+05,3.110417e-06,31,4.479848e+00,7.817166e+04,6.614633e+00
2.907278e+05,3.439643e-06,27,4.919996e+00,8.596720e+04,6.693366e+00
3.110076e+05,3.215356e-06,29,4.928550e+00,9.023883e+04,6.623307e+00
2.956699e+05,3.382150e-06,28,4.523734e+00,7.942552e+04,6.635681e+00
2.987139e+05,3.347685e-06,28,4.931203e+00,8.450735e+04,6.639227e+00
2.890849e+05,3.459192e-06,27,4.851066e+00,8.322431e+04,6.608835e+00
2.928858e+05,3.414300e-06,28,4.766067e+00,7.477762e+04,6.709560e+00
2.884838e+05,3.466399e-06,27,4.814336e+00,8.222091e+04,6.657796e+00
2.917668e+05,3.427395e-06,28,4.919168e+00,7.290942e+04,6.595021e+00
2.794378e+05,3.578614e-06,26,4.849366e+00,8.191119e+04,6.549034e+00
