Custo,Fitness,NumSwitches,SAIDI,ENS,Tempo
2.681240e+05,3.729617e-06,25,4.754474e+00,7.781557e+04,8.123738e+00
2.639544e+05,3.788533e-06,24,4.905435e+00,8.564678e+04,8.064625e+00
2.803223e+05,3.567322e-06,26,4.594936e+00,8.338781e+04,8.123695e+00
2.652926e+05,3.769423e-06,25,4.808277e+00,7.308866e+04,8.084380e+00
2.731308e+05,3.661250e-06,25,4.940108e+00,8.617403e+04,8.130466e+00
2.602011e+05,3.843181e-06,24,4.967161e+00,7.938080e+04,8.125308e+00
2.667433e+05,3.748922e-06,25,4.780544e+00,7.551055e+04,8.134029e+00
2.624870e+05,3.809712e-06,24,4.965508e+00,8.319703e+04,8.146585e+00
2.675623e+05,3.737447e-06,25,4.882235e+00,7.687783e+04,8.160916e+00
2.643387e+05,3.783025e-06,24,4.990005e+00,8.628834e+04,8.065303e+00
2.749160e+05,3.637475e-06,26,4.802355e+00,7.436226e+04,8.112804e+00
2.612167e+05,3.828239e-06,24,4.967111e+00,8.107627e+04,8.117104e+00
2.625227e+05,3.809195e-06,24,4.844560e+00,8.325659e+04,8.136476e+00
2.709834e+05,3.690262e-06,25,4.898910e+00,8.258921e+04,8.125812e+00
2.559122e+05,3.907591e-06,24,4.775487e+00,7.222064e+04,8.049234e+00
2.671134e+05,3.743728e-06,25,4.996684e+00,7.612844e+04,8.142238e+00
2.790045e+05,3.584172e-06,26,4.680823e+00,8.118781e+04,8.076254e+00
2.673474e+05,3.740452e-06,25,4.870577e+00,7.651894e+04,8.131303e+00
2.863790e+05,3.491876e-06,27,4.765359e+00,7.870702e+04,8.121695e+00
2.697316e+05,3.707389e-06,25,4.703446e+00,8.049931e+04,8.093825e+00
2.709367e+05,3.690899e-06,25,4.958738e+00,8.251123e+04,8.125572e+00
2.694852e+05,3.710779e-06,25,4.728879e+00,8.008795e+04,8.104995e+00
2.614242e+05,3.825201e-06,24,4.662096e+00,8.142266e+04,8.034946e+00
2.749817e+05,3.636606e-06,25,4.977222e+00,8.926404e+04,8.124660e+00
2.629842e+05,3.802510e-06,24,4.772867e+00,8.402697e+04,8.030927e+00
2.765824e+05,3.615559e-06,26,4.756113e+00,7.714419e+04,8.121452e+00
2.622330e+05,3.813403e-06,24,4.946963e+00,8.277297e+04,8.069612e+00
2.641187e+05,3.786176e-06,24,4.973700e+00,8.592111e+04,8.070253e+00
2.649221e+05,3.774695e-06,24,4.906816e+00,8.726223e+04,8.075049e+00
2.640589e+05,3.787034e-06,24,4.999491e+00,8.582120e+04,8.047131e+00
2.620802e+05,3.815626e-06,24,4.727456e+00,8.251783e+04,8.057150e+00
2.584968e+05,3.868519e-06,24,4.959575e+00,7.653564e+04,8.105113e+00
2.654812e+05,3.766746e-06,25,4.655345e+00,7.340341e+04,8.208273e+00
2.857254e+05,3.499864e-06,27,4.943873e+00,7.761584e+04,8.106516e+00
2.652966e+05,3.769366e-06,25,4.757015e+00,7.309537e+04,8.097490e+00
2.677804e+05,3.734403e-06,25,4.600212e+00,7.724195e+04,8.127001e+00
2.570670e+05,3.890037e-06,23,4.991403e+00,8.894066e+04,8.083135e+00
2.678633e+05,3.733248e-06,25,4.821001e+00,7.738021e+04,8.121007e+00
2.779369e+05,3.597939e-06,26,4.893053e+00,7.940555e+04,8.190945e+00
2.722753e+05,3.672753e-06,26,4.754441e+00,6.995377e+04,8.129821e+00
