Custo,Fitness,NumSwitches,SAIDI,ENS,Tempo
2.573421e+05,3.885878e-06,24,4.998463e+00,7.460777e+04,1.862871e+01
2.561522e+05,3.903928e-06,24,4.994092e+00,7.262144e+04,1.819187e+01
2.571816e+05,3.888304e-06,24,4.957218e+00,7.433983e+04,1.895250e+01
2.573774e+05,3.885345e-06,23,4.861296e+00,8.945892e+04,1.944384e+01
2.595074e+05,3.853455e-06,24,4.901124e+00,7.822267e+04,1.821770e+01
2.592402e+05,3.857426e-06,24,4.602988e+00,7.777668e+04,1.876161e+01
2.555767e+05,3.912720e-06,23,4.968421e+00,8.645268e+04,1.850514e+01
2.569677e+05,3.891539e-06,23,4.933042e+00,8.877503e+04,1.872910e+01
2.567292e+05,3.895154e-06,24,4.837377e+00,7.358470e+04,1.905862e+01
2.586758e+05,3.865842e-06,23,4.963687e+00,9.162659e+04,1.820646e+01
2.565184e+05,3.898356e-06,23,4.880838e+00,8.802490e+04,1.939649e+01
2.579508e+05,3.876709e-06,24,4.735233e+00,7.562399e+04,1.921632e+01
2.571541e+05,3.888719e-06,24,4.917554e+00,7.429396e+04,1.860767e+01
2.597899e+05,3.849264e-06,24,4.960544e+00,7.869436e+04,1.864346e+01
2.546750e+05,3.926572e-06,23,4.939992e+00,8.494748e+04,1.825660e+01
2.543133e+05,3.932158e-06,23,4.947757e+00,8.434358e+04,1.759035e+01
2.598270e+05,3.848714e-06,24,4.606631e+00,7.875634e+04,1.814652e+01
2.569877e+05,3.891237e-06,24,4.963482e+00,7.401617e+04,1.881605e+01
2.557730e+05,3.909717e-06,23,4.953394e+00,8.678050e+04,1.842571e+01
2.628464e+05,3.804503e-06,24,4.896742e+00,8.379700e+04,2.034649e+01
2.585654e+05,3.867493e-06,24,4.741154e+00,7.665011e+04,1.814029e+01
2.605888e+05,3.837463e-06,24,4.900612e+00,8.002813e+04,1.890160e+01
2.557472e+05,3.910111e-06,23,4.899723e+00,8.673746e+04,1.860966e+01
2.549985e+05,3.921592e-06,23,4.819236e+00,8.548752e+04,1.812322e+01
2.567090e+05,3.895461e-06,23,4.977062e+00,8.834308e+04,1.864704e+01
2.574739e+05,3.883889e-06,24,4.878685e+00,7.482781e+04,1.844377e+01
2.586825e+05,3.865743e-06,23,4.937885e+00,9.163770e+04,1.882387e+01
2.568633e+05,3.893122e-06,24,4.908435e+00,7.380850e+04,1.819616e+01
2.540855e+05,3.935683e-06,23,4.938694e+00,8.396334e+04,1.915532e+01
2.577766e+05,3.879328e-06,24,4.693577e+00,7.533320e+04,1.893101e+01
2.547833e+05,3.924904e-06,23,4.944819e+00,8.512816e+04,1.877577e+01
2.622687e+05,3.812883e-06,24,4.851236e+00,8.283262e+04,1.849270e+01
2.584827e+05,3.868730e-06,24,4.959672e+00,7.651208e+04,1.867938e+01
2.574945e+05,3.883579e-06,24,4.902269e+00,7.486222e+04,1.872486e+01
2.634799e+05,3.795355e-06,24,4.714347e+00,8.485466e+04,1.873931e+01
2.629631e+05,3.802815e-06,24,4.684575e+00,8.399174e+04,1.875148e+01
2.557905e+05,3.909450e-06,23,4.970834e+00,8.680964e+04,1.877995e+01
2.633777e+05,3.796828e-06,24,4.843725e+00,8.468406e+04,2.034623e+01
2.581588e+05,3.873584e-06,24,4.818209e+00,7.597136e+04,1.909532e+01
2.623655e+05,3.811477e-06,24,4.836114e+00,8.299414e+04,1.904456e+01
