Custo,Fitness,NumSwitches,SAIDI,ENS,Tempo
2.428104e+05,4.118440e-06,17,9.483101e+00,1.538929e+05,1.809508e+01
2.406931e+05,4.154668e-06,18,7.891710e+00,1.355662e+05,1.795131e+01
2.370903e+05,4.217802e-06,18,7.843717e+00,1.295514e+05,2.025824e+01
2.437004e+05,4.103400e-06,19,7.351904e+00,1.257944e+05,1.864576e+01
2.440021e+05,4.098325e-06,18,8.991854e+00,1.410904e+05,1.826422e+01
2.376400e+05,4.208046e-06,18,8.334923e+00,1.304690e+05,1.887926e+01
2.403487e+05,4.160621e-06,18,7.940240e+00,1.349912e+05,1.868517e+01
2.405947e+05,4.156368e-06,17,9.834716e+00,1.501940e+05,1.832952e+01
2.392468e+05,4.179784e-06,18,7.801929e+00,1.331515e+05,1.933730e+01
2.447187e+05,4.086324e-06,17,9.820530e+00,1.570789e+05,1.872338e+01
2.415010e+05,4.140770e-06,17,9.746290e+00,1.517070e+05,1.960283e+01
2.397569e+05,4.170892e-06,18,7.889227e+00,1.340031e+05,1.798162e+01
2.384359e+05,4.193999e-06,18,7.796951e+00,1.317979e+05,1.835985e+01
2.417438e+05,4.136611e-06,19,7.559699e+00,1.225281e+05,1.866859e+01
2.378989e+05,4.203467e-06,18,7.743575e+00,1.309013e+05,1.870028e+01
2.434756e+05,4.107187e-06,17,9.437752e+00,1.550036e+05,1.819657e+01
2.421059e+05,4.130425e-06,19,7.833657e+00,1.231325e+05,1.889511e+01
2.405729e+05,4.156745e-06,17,9.270502e+00,1.501576e+05,1.856477e+01
2.364423e+05,4.229361e-06,18,8.395908e+00,1.284696e+05,1.824852e+01
2.424910e+05,4.123864e-06,19,8.113400e+00,1.237755e+05,1.807302e+01
2.407382e+05,4.153889e-06,18,8.673501e+00,1.356415e+05,1.868222e+01
2.377500e+05,4.206099e-06,18,8.277691e+00,1.306528e+05,1.825869e+01
2.390203e+05,4.183745e-06,18,7.691714e+00,1.327735e+05,1.830591e+01
2.432438e+05,4.111102e-06,18,9.094499e+00,1.398244e+05,1.813468e+01
2.431471e+05,4.112736e-06,17,9.754264e+00,1.544551e+05,1.926603e+01
2.439693e+05,4.098876e-06,18,8.940250e+00,1.410356e+05,1.819048e+01
2.435661e+05,4.105661e-06,18,8.347408e+00,1.403625e+05,1.826190e+01
2.388962e+05,4.185918e-06,18,7.942564e+00,1.325663e+05,1.826301e+01
2.419958e+05,4.132303e-06,19,7.890889e+00,1.229488e+05,1.842835e+01
2.370382e+05,4.218729e-06,18,7.796912e+00,1.294645e+05,1.849148e+01
2.411632e+05,4.146569e-06,18,7.968158e+00,1.363510e+05,1.817223e+01
2.407900e+05,4.152996e-06,18,8.458813e+00,1.357280e+05,1.830723e+01
2.445746e+05,4.088732e-06,18,9.391908e+00,1.420461e+05,1.879337e+01
2.467132e+05,4.053289e-06,18,9.252897e+00,1.456164e+05,1.900043e+01
2.452549e+05,4.077390e-06,18,9.561121e+00,1.431819e+05,1.822293e+01
2.457077e+05,4.069876e-06,18,9.265957e+00,1.439378e+05,1.845932e+01
2.361783e+05,4.234088e-06,18,8.211425e+00,1.280290e+05,1.837836e+01
2.414483e+05,4.141674e-06,19,8.039529e+00,1.220347e+05,1.819460e+01
2.432718e+05,4.110628e-06,17,9.991695e+00,1.546633e+05,1.883328e+01
2.454230e+05,4.074599e-06,17,9.826238e+00,1.582545e+05,1.897117e+01
