Custo,Fitness,NumSwitches,SAIDI,ENS,Tempo
2.686637e+05,3.722126e-06,22,7.651994e+00,1.230930e+05,6.780890e+00
2.627956e+05,3.805239e-06,20,9.338189e+00,1.428808e+05,6.836629e+00
2.465458e+05,4.056042e-06,20,7.032323e+00,1.157525e+05,6.707240e+00
2.639785e+05,3.788187e-06,22,7.510952e+00,1.152713e+05,6.822026e+00
2.562993e+05,3.901689e-06,21,7.446102e+00,1.172434e+05,6.790933e+00
2.631373e+05,3.800297e-06,22,6.764117e+00,1.138670e+05,6.757378e+00
2.644096e+05,3.782010e-06,20,9.509266e+00,1.455753e+05,6.835132e+00
2.430825e+05,4.113830e-06,19,7.226250e+00,1.247629e+05,6.745350e+00
2.668306e+05,3.747696e-06,21,8.285877e+00,1.348249e+05,6.759413e+00
2.516843e+05,3.973231e-06,20,7.639250e+00,1.243311e+05,6.789461e+00
2.533491e+05,3.947123e-06,21,7.716913e+00,1.123182e+05,6.756773e+00
2.480092e+05,4.032109e-06,21,6.734776e+00,1.034035e+05,6.733667e+00
2.520449e+05,3.967546e-06,19,9.127169e+00,1.397253e+05,6.767512e+00
2.736675e+05,3.654069e-06,24,5.848338e+00,1.018623e+05,6.725182e+00
2.573440e+05,3.885849e-06,19,9.182907e+00,1.485718e+05,6.829723e+00
2.564182e+05,3.899880e-06,21,7.941340e+00,1.174418e+05,6.731190e+00
2.560009e+05,3.906236e-06,19,9.542480e+00,1.463296e+05,6.867694e+00
2.491324e+05,4.013930e-06,19,8.920516e+00,1.348630e+05,6.824786e+00
2.568436e+05,3.893420e-06,21,6.833243e+00,1.181521e+05,6.728186e+00
2.499440e+05,4.000896e-06,20,7.745355e+00,1.214257e+05,6.842048e+00
2.605931e+05,3.837400e-06,22,6.350090e+00,1.096195e+05,6.731535e+00
2.557906e+05,3.909448e-06,21,6.825578e+00,1.163941e+05,6.871683e+00
2.710437e+05,3.689443e-06,23,8.008695e+00,1.122741e+05,6.888501e+00
2.741011e+05,3.648289e-06,21,8.993731e+00,1.469625e+05,6.780674e+00
2.406840e+05,4.154826e-06,19,7.730490e+00,1.207588e+05,6.788770e+00
2.649472e+05,3.774337e-06,22,6.718093e+00,1.168885e+05,6.730750e+00
2.607654e+05,3.834865e-06,21,7.455719e+00,1.246993e+05,6.810098e+00
2.539004e+05,3.938552e-06,21,7.718110e+00,1.132386e+05,6.813458e+00
2.471306e+05,4.046443e-06,19,7.868167e+00,1.315211e+05,6.734068e+00
2.663147e+05,3.754956e-06,22,7.732054e+00,1.191714e+05,6.843970e+00
2.574047e+05,3.884933e-06,20,7.981235e+00,1.338810e+05,6.705898e+00
2.557239e+05,3.910468e-06,21,7.247579e+00,1.162828e+05,6.743309e+00
2.580252e+05,3.875590e-06,21,7.219317e+00,1.201247e+05,6.755407e+00
2.421967e+05,4.128875e-06,18,9.252537e+00,1.380763e+05,6.881266e+00
2.573758e+05,3.885369e-06,20,8.240520e+00,1.338328e+05,6.720284e+00
2.561828e+05,3.903463e-06,19,9.074483e+00,1.466333e+05,6.860387e+00
2.583466e+05,3.870769e-06,19,8.729362e+00,1.502455e+05,6.791433e+00
2.536226e+05,3.942866e-06,19,8.603869e+00,1.423592e+05,6.846332e+00
2.699886e+05,3.703860e-06,22,7.093634e+00,1.253049e+05,6.752473e+00
2.546190e+05,3.927436e-06,20,8.004609e+00,1.292305e+05,6.852452e+00
