Custo,Fitness,NumSwitches,SAIDI,ENS,Tempo
2.644129e+05,3.781964e-06,21,8.180905e+00,1.307886e+05,1.049320e+01
2.439095e+05,4.099882e-06,19,7.920883e+00,1.261435e+05,1.051666e+01
2.491228e+05,4.014085e-06,20,7.697206e+00,1.200547e+05,1.054775e+01
2.589670e+05,3.861496e-06,20,9.219053e+00,1.364892e+05,1.069754e+01
2.433710e+05,4.108952e-06,20,6.801206e+00,1.104525e+05,1.057457e+01
2.699157e+05,3.704860e-06,22,8.338778e+00,1.251832e+05,1.060518e+01
2.627463e+05,3.805953e-06,21,7.535527e+00,1.280063e+05,1.043733e+01
2.421103e+05,4.130349e-06,18,8.472539e+00,1.379321e+05,1.061546e+01
2.590077e+05,3.860890e-06,20,8.708184e+00,1.365570e+05,1.060765e+01
2.526822e+05,3.957541e-06,19,8.541304e+00,1.407891e+05,1.054742e+01
2.457396e+05,4.069348e-06,18,9.348130e+00,1.439910e+05,1.069097e+01
2.501016e+05,3.998375e-06,19,8.492286e+00,1.364810e+05,1.059253e+01
2.650008e+05,3.773574e-06,20,9.402873e+00,1.465622e+05,1.074232e+01
2.582698e+05,3.871919e-06,21,7.676015e+00,1.205331e+05,1.042306e+01
2.482417e+05,4.028332e-06,19,7.976787e+00,1.333760e+05,1.058070e+01
2.499283e+05,4.001147e-06,18,9.825904e+00,1.509839e+05,1.071703e+01
2.530154e+05,3.952328e-06,20,7.804682e+00,1.265533e+05,1.048765e+01
2.404444e+05,4.158966e-06,18,8.706477e+00,1.351508e+05,1.063727e+01
2.593543e+05,3.855729e-06,22,6.434734e+00,1.075515e+05,1.039509e+01
2.501120e+05,3.998209e-06,19,8.632717e+00,1.364983e+05,1.044708e+01
2.528866e+05,3.954342e-06,19,8.818222e+00,1.411304e+05,1.068926e+01
2.443648e+05,4.092243e-06,19,7.744210e+00,1.269036e+05,1.052015e+01
2.484271e+05,4.025326e-06,20,7.108797e+00,1.188933e+05,1.048820e+01
2.540479e+05,3.936266e-06,20,6.823416e+00,1.282769e+05,1.049969e+01
2.513453e+05,3.978590e-06,21,7.422849e+00,1.089730e+05,1.038356e+01
2.764913e+05,3.616750e-06,23,6.994740e+00,1.213686e+05,1.055258e+01
2.676629e+05,3.736043e-06,22,7.394340e+00,1.214222e+05,1.074669e+01
2.591150e+05,3.859290e-06,20,8.874846e+00,1.367363e+05,1.054767e+01
2.518186e+05,3.971113e-06,20,7.683798e+00,1.245553e+05,1.058579e+01
2.736263e+05,3.654619e-06,21,9.673783e+00,1.461700e+05,1.068868e+01
2.435777e+05,4.105466e-06,18,9.529270e+00,1.403818e+05,1.071625e+01
2.538084e+05,3.939980e-06,20,8.013937e+00,1.278771e+05,1.056249e+01
2.534036e+05,3.946273e-06,20,8.677014e+00,1.272014e+05,1.066169e+01
2.524548e+05,3.961105e-06,21,6.517335e+00,1.108253e+05,1.053043e+01
2.501380e+05,3.997793e-06,18,9.101736e+00,1.513339e+05,1.066086e+01
2.557317e+05,3.910348e-06,20,7.621150e+00,1.310880e+05,1.052031e+01
2.569321e+05,3.892078e-06,21,6.961595e+00,1.182999e+05,1.058826e+01
2.426422e+05,4.121295e-06,19,8.025700e+00,1.240279e+05,1.046667e+01
2.549367e+05,3.922542e-06,20,7.637356e+00,1.297608e+05,1.053472e+01
2.661093e+05,3.757854e-06,22,7.121428e+00,1.188286e+05,1.053389e+01
