Custo,Fitness,NumSwitches,SAIDI,ENS,Tempo
2.636310e+05,3.793181e-06,20,9.006162e+00,1.442754e+05,6.037014e+00
2.535641e+05,3.943776e-06,19,8.604947e+00,1.422614e+05,5.870136e+00
2.661804e+05,3.756851e-06,22,7.476731e+00,1.189472e+05,6.018976e+00
2.872865e+05,3.480846e-06,25,6.849699e+00,1.098064e+05,5.830660e+00
2.642877e+05,3.783755e-06,21,8.252125e+00,1.305797e+05,6.091481e+00
2.905807e+05,3.441385e-06,25,6.122234e+00,1.153058e+05,5.570972e+00
2.515625e+05,3.975155e-06,19,8.085204e+00,1.389199e+05,5.739755e+00
2.653964e+05,3.767948e-06,22,7.421045e+00,1.176384e+05,5.809345e+00
2.712471e+05,3.686676e-06,22,8.052340e+00,1.274058e+05,5.738757e+00
2.725571e+05,3.668956e-06,23,7.206324e+00,1.148007e+05,5.940545e+00
2.726371e+05,3.667880e-06,22,7.817524e+00,1.297263e+05,5.899758e+00
2.827784e+05,3.536338e-06,22,8.625237e+00,1.466568e+05,5.977204e+00
2.826899e+05,3.537445e-06,24,7.571768e+00,1.169248e+05,5.701672e+00
2.768223e+05,3.612426e-06,21,9.979635e+00,1.515055e+05,5.914341e+00
2.764284e+05,3.617573e-06,22,8.762042e+00,1.360558e+05,5.964264e+00
2.575830e+05,3.882244e-06,21,8.072614e+00,1.193864e+05,6.002990e+00
2.683348e+05,3.726688e-06,22,7.291357e+00,1.225440e+05,5.999261e+00
2.758001e+05,3.625814e-06,24,6.345771e+00,1.054226e+05,5.972470e+00
2.643320e+05,3.783122e-06,22,7.357063e+00,1.158614e+05,5.960702e+00
2.765044e+05,3.616578e-06,22,8.012557e+00,1.361827e+05,5.733385e+00
2.651509e+05,3.771438e-06,21,7.889273e+00,1.320207e+05,5.839726e+00
2.581767e+05,3.873317e-06,20,8.640097e+00,1.351697e+05,6.016682e+00
2.589148e+05,3.862274e-06,18,9.737079e+00,1.659864e+05,5.794365e+00
2.751976e+05,3.633752e-06,24,6.263622e+00,1.044167e+05,5.909257e+00
2.760771e+05,3.622177e-06,23,8.082990e+00,1.206771e+05,5.810596e+00
2.763083e+05,3.619145e-06,24,6.638677e+00,1.062710e+05,5.718753e+00
2.583522e+05,3.870684e-06,20,8.451828e+00,1.354629e+05,5.984495e+00
2.751654e+05,3.634178e-06,22,7.143036e+00,1.339472e+05,5.802204e+00
2.819803e+05,3.546347e-06,23,8.206640e+00,1.305322e+05,5.647543e+00
2.641277e+05,3.786048e-06,22,6.990451e+00,1.155203e+05,5.786397e+00
2.647529e+05,3.777107e-06,21,8.069190e+00,1.313563e+05,5.785029e+00
2.683838e+05,3.726007e-06,21,8.176369e+00,1.374179e+05,5.976794e+00
2.814768e+05,3.552690e-06,25,6.098828e+00,1.001074e+05,5.737461e+00
2.788122e+05,3.586643e-06,24,6.264837e+00,1.104511e+05,5.525519e+00
2.536583e+05,3.942312e-06,19,8.521179e+00,1.424187e+05,6.110638e+00
2.721385e+05,3.674600e-06,24,6.253138e+00,9.930966e+04,5.650795e+00
2.501882e+05,3.996991e-06,21,7.042819e+00,1.070412e+05,5.935142e+00
2.904144e+05,3.443355e-06,23,8.882074e+00,1.446126e+05,5.774438e+00
2.635742e+05,3.793997e-06,21,8.639800e+00,1.293886e+05,5.810107e+00
2.703173e+05,3.699356e-06,23,6.014130e+00,1.110615e+05,5.821856e+00
