Custo,Fitness,NumSwitches,SAIDI,ENS,Tempo
2.588184e+05,3.863713e-06,22,7.295852e+00,1.066567e+05,8.187547e+00
2.614642e+05,3.824616e-06,19,9.064973e+00,1.554502e+05,8.320803e+00
2.571835e+05,3.888275e-06,20,8.159162e+00,1.335116e+05,8.161887e+00
2.663194e+05,3.754890e-06,22,7.004975e+00,1.191792e+05,8.249070e+00
2.557594e+05,3.909925e-06,19,9.364583e+00,1.459263e+05,8.325748e+00
2.449712e+05,4.082113e-06,20,6.411580e+00,1.131239e+05,8.118849e+00
2.527707e+05,3.956155e-06,21,7.320162e+00,1.113526e+05,8.251723e+00
2.531453e+05,3.950301e-06,20,8.086277e+00,1.267701e+05,8.278590e+00
2.621074e+05,3.815229e-06,19,9.522636e+00,1.565241e+05,8.302783e+00
2.583669e+05,3.870465e-06,21,7.794396e+00,1.206952e+05,8.260092e+00
2.591531e+05,3.858724e-06,19,9.929002e+00,1.515919e+05,8.340065e+00
2.609237e+05,3.832538e-06,20,8.558043e+00,1.397557e+05,8.265308e+00
2.598246e+05,3.848750e-06,21,7.275665e+00,1.231288e+05,8.192379e+00
2.740750e+05,3.648637e-06,24,6.006725e+00,1.025425e+05,8.124314e+00
2.527883e+05,3.955879e-06,21,6.858741e+00,1.113819e+05,8.141423e+00
2.538416e+05,3.939464e-06,20,8.672867e+00,1.279326e+05,8.355135e+00
2.576845e+05,3.880715e-06,20,8.855012e+00,1.343481e+05,8.338576e+00
2.611556e+05,3.829135e-06,21,7.569799e+00,1.253507e+05,8.268033e+00
2.471975e+05,4.045348e-06,20,7.484431e+00,1.168406e+05,8.270971e+00
2.721083e+05,3.675007e-06,23,6.963883e+00,1.140514e+05,8.272752e+00
2.727593e+05,3.666236e-06,23,7.090031e+00,1.151382e+05,8.329978e+00
2.462698e+05,4.060587e-06,19,7.407586e+00,1.300840e+05,8.286766e+00
2.679438e+05,3.732126e-06,24,6.103569e+00,9.230689e+04,8.145369e+00
2.651547e+05,3.771383e-06,20,8.729642e+00,1.468192e+05,8.387033e+00
2.665136e+05,3.752154e-06,21,8.865202e+00,1.342956e+05,8.353424e+00
2.676406e+05,3.736355e-06,22,6.841343e+00,1.213849e+05,8.214955e+00
2.588697e+05,3.862947e-06,20,8.919668e+00,1.363267e+05,8.248767e+00
2.649921e+05,3.773698e-06,23,6.541725e+00,1.021712e+05,8.202405e+00
2.616993e+05,3.821179e-06,20,9.424284e+00,1.410506e+05,8.362040e+00
2.503950e+05,3.993689e-06,18,9.264433e+00,1.517630e+05,8.335508e+00
2.482193e+05,4.028695e-06,20,7.418405e+00,1.185464e+05,8.273266e+00
2.611424e+05,3.829328e-06,22,7.075960e+00,1.105366e+05,8.205455e+00
2.421822e+05,4.129122e-06,18,8.612088e+00,1.380521e+05,8.270662e+00
2.624066e+05,3.810879e-06,20,7.878638e+00,1.422315e+05,8.279613e+00
2.468447e+05,4.051130e-06,20,7.692607e+00,1.162517e+05,8.195596e+00
2.582670e+05,3.871963e-06,21,7.999358e+00,1.205283e+05,8.326020e+00
2.625310e+05,3.809075e-06,22,6.969699e+00,1.128547e+05,8.173795e+00
2.627246e+05,3.806267e-06,21,8.160729e+00,1.279701e+05,8.294814e+00
2.684540e+05,3.725033e-06,22,6.986506e+00,1.227429e+05,8.219100e+00
2.602547e+05,3.842389e-06,20,8.823405e+00,1.386390e+05,8.356396e+00
