Custo,Fitness,NumSwitches,SAIDI,ENS,Tempo
2.379401e+05,4.202739e-06,18,7.713912e+00,1.309701e+05,5.887746e+00
2.517368e+05,3.972404e-06,18,9.350129e+00,1.540030e+05,5.998817e+00
2.574785e+05,3.883820e-06,20,8.327796e+00,1.340041e+05,5.861851e+00
2.470657e+05,4.047506e-06,18,9.780316e+00,1.462049e+05,6.135344e+00
2.481503e+05,4.029815e-06,18,9.606518e+00,1.480156e+05,5.955680e+00
2.391541e+05,4.181404e-06,18,8.672102e+00,1.329969e+05,6.143501e+00
2.430501e+05,4.114378e-06,18,8.411886e+00,1.395010e+05,5.905046e+00
2.429747e+05,4.115655e-06,19,8.228972e+00,1.245829e+05,6.078238e+00
2.561815e+05,3.903483e-06,20,8.240867e+00,1.318389e+05,5.916325e+00
2.473312e+05,4.043162e-06,18,9.341462e+00,1.466480e+05,5.968083e+00
2.446991e+05,4.086652e-06,19,8.144471e+00,1.274618e+05,5.841115e+00
2.518040e+05,3.971343e-06,20,7.184305e+00,1.245309e+05,5.857364e+00
2.425795e+05,4.122360e-06,18,8.961110e+00,1.387153e+05,6.108732e+00
2.464256e+05,4.058019e-06,18,9.733743e+00,1.451363e+05,5.927188e+00
2.471765e+05,4.045692e-06,19,8.927243e+00,1.315977e+05,6.075486e+00
2.455617e+05,4.072297e-06,19,7.771622e+00,1.289018e+05,5.947900e+00
2.540294e+05,3.936552e-06,21,6.467581e+00,1.134540e+05,5.754192e+00
2.491752e+05,4.013240e-06,20,7.172213e+00,1.201422e+05,5.849059e+00
2.423903e+05,4.125578e-06,18,8.912056e+00,1.383995e+05,5.929282e+00
2.440017e+05,4.098332e-06,19,8.384043e+00,1.262975e+05,5.811705e+00
2.450122e+05,4.081429e-06,20,7.066265e+00,1.131924e+05,5.850558e+00
2.415010e+05,4.140770e-06,17,9.746290e+00,1.517070e+05,6.082237e+00
2.501198e+05,3.998084e-06,19,8.410550e+00,1.365114e+05,6.024088e+00
2.489686e+05,4.016571e-06,18,9.039316e+00,1.493816e+05,5.972972e+00
2.538166e+05,3.939853e-06,19,8.667430e+00,1.426829e+05,5.910811e+00
2.456567e+05,4.070722e-06,17,9.756603e+00,1.586447e+05,5.972158e+00
2.488939e+05,4.017777e-06,18,9.394711e+00,1.492568e+05,6.116992e+00
2.450063e+05,4.081528e-06,19,7.539627e+00,1.279745e+05,5.903730e+00
2.445064e+05,4.089872e-06,18,9.403825e+00,1.419322e+05,6.006809e+00
2.550155e+05,3.921330e-06,20,7.327540e+00,1.298924e+05,5.955914e+00
2.427820e+05,4.118921e-06,19,8.004557e+00,1.242613e+05,5.996838e+00
2.423772e+05,4.125801e-06,19,7.475671e+00,1.235855e+05,5.971324e+00
2.530266e+05,3.952154e-06,19,8.417343e+00,1.413640e+05,5.966114e+00
2.435899e+05,4.105261e-06,19,7.386622e+00,1.256099e+05,5.851184e+00
2.483728e+05,4.026205e-06,19,7.924628e+00,1.335949e+05,6.005356e+00
2.467788e+05,4.052211e-06,18,9.383268e+00,1.457260e+05,6.064533e+00
2.433600e+05,4.109138e-06,18,8.458360e+00,1.400184e+05,6.056690e+00
2.488840e+05,4.017937e-06,18,9.367957e+00,1.492403e+05,6.085100e+00
2.475974e+05,4.038815e-06,19,7.750852e+00,1.323003e+05,5.943913e+00
2.430396e+05,4.114556e-06,18,7.927143e+00,1.394835e+05,5.819621e+00
